,Player,playerId,teamId,2K17,2K16,abbreviation
357,Patrick Patterson,202335,1610612761,76.0,74.0,TOR
358,Jakob Poeltl,1627751,1610612761,71.0,71.0,TOR
359,Norman Powell,1626181,1610612761,74.0,68.0,TOR
360,Pascal Siakam,1627783,1610612761,67.0,67.0,TOR
361,PJ Tucker,200782,1610612761,75.0,75.0,TOR
362,Jonas Valanciunas,202685,1610612761,82.0,78.0,TOR
363,Delon Wright,1626153,1610612761,69.0,70.0,TOR
364,Kay Felder,1627770,1610612739,69.0,69.0,CLE
365,Channing Frye,101112,1610612739,74.0,71.0,CLE
366,Kyrie Irving,202681,1610612739,89.0,87.0,CLE
367,LeBron James,2544,1610612739,96.0,94.0,CLE
368,Richard Jefferson,2210,1610612739,74.0,72.0,CLE
369,James Jones,2592,1610612739,69.0,69.0,CLE
370,Kyle Korver,2594,1610612739,76.0,79.0,CLE
371,Kevin Love,201567,1610612739,82.0,81.0,CLE
372,Iman Shumpert,202697,1610612739,74.0,75.0,CLE
373,JR Smith,2747,1610612739,77.0,76.0,CLE
374,Tristan Thompson,202684,1610612739,81.0,77.0,CLE
375,Deron Williams,101114,1610612739,76.0,78.0,CLE
376,Derrick Williams,202682,1610612739,73.0,72.0,CLE
